CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,BOS_2012,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
17593512,11/26/2023 04:56:00 PM,11/27/2023 06:50:02 AM,11/27/2023 06:50:02 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"900 CLEMENT ST, SAN FRANCISCO, CA, 94118",CLEMENT ST,1,Inner Richmond,RICHMOND,0,0,"(0.0, 0.0)",Phone,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593511,11/26/2023 04:55:00 PM,12/01/2023 02:12:00 PM,12/01/2023 02:12:00 PM,Closed,Case Resolved - Nothingfound,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of JENNINGS ST and INGERSON AVE,JENNINGS ST,10,Bret Harte,BAYVIEW,37.72016232257,-122.394707653947,"(37.72016232, -122.39470765)",Mobile/Open311,,10,88,2,9,1,8,10,3,58,3,1,1,,88,,9,,,,,,,2,,,,,88
17593509,11/26/2023 04:55:00 PM,11/27/2023 04:53:40 AM,11/27/2023 04:53:40 AM,Closed,Case Resolved - Homeless sleeping,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1815 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,2,Pacific Heights,NORTHERN,37.792257003083,-122.423037858422,"(37.792257, -122.42303786)",Mobile/Open311,,2,102,4,6,30,1,13,6,28858,9,27,27,,102,,6,,,,,,,1,,,,,102
17593507,11/26/2023 04:54:00 PM,12/01/2023 02:12:00 PM,12/01/2023 02:12:00 PM,Closed,Case is a Duplicate,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"6299 3RD ST, SAN FRANCISCO, CA, 94124",3RD ST,10,Bret Harte,BAYVIEW,37.72093854686,-122.396058002127,"(37.72093855, -122.396058)",Mobile/Open311,,10,88,2,9,1,8,10,3,58,3,1,1,,88,,9,,,,,,,2,,,,,88
17593504,11/26/2023 04:54:00 PM,12/08/2023 09:31:06 PM,12/08/2023 09:31:06 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Transit_shelter_platform,Transit_shelter_platform,"515 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,5,Civic Center,NORTHERN,37.780215940382,-122.420343688932,"(37.78021594, -122.42034369)",Mobile/Open311,,5,21,4,11,39,11,7,6,28852,9,41,41,,21,1,11,,,1,,8,,2,,1,,,21
17593502,11/26/2023 04:53:48 PM,11/26/2023 04:54:07 PM,11/26/2023 04:54:07 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4062 24TH ST, SAN FRANCISCO, CA, 94114",24TH ST,8,Noe Valley,MISSION,37.751434434162,-122.433180886487,"(37.75143443, -122.43318089)",Mobile/Open311,,8,84,3,5,22,5,2,7,28862,4,22,22,,84,,5,,,,,12,,1,,,,,84
17593501,11/26/2023 04:53:35 PM,11/26/2023 04:54:02 PM,11/26/2023 04:54:02 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"37 CLEARY CT, SAN FRANCISCO, CA, 94109",CLEARY CT,2,Cathedral Hill,NORTHERN,37.784185101438,-122.426164480443,"(37.7841851, -122.42616448)",Mobile/Open311,,5,100,4,11,39,11,13,6,28858,9,41,41,,100,,11,,,,,,,2,,,,,100
17593500,11/26/2023 04:53:27 PM,11/26/2023 04:53:58 PM,11/26/2023 04:53:58 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2015 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.776422338487,-122.48037510161,"(37.77642234, -122.4803751)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
17593498,11/26/2023 04:52:00 PM,11/27/2023 08:04:00 PM,11/27/2023 08:04:00 PM,Closed,Case Resolved - Picked up miscellaneous debris,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"3601 23RD ST, SAN FRANCISCO, CA, 94110",23RD ST,8,Dolores Heights,MISSION,37.753492607601,-122.42328027974,"(37.75349261, -122.42328028)",Mobile/Open311,,8,52,3,5,20,5,2,7,28859,4,19,19,,52,,5,,,,,,,1,,,,,52
17593495,11/26/2023 04:51:00 PM,11/28/2023 11:32:06 AM,11/28/2023 11:32:06 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,"196 DUBOCE AVE, SAN FRANCISCO, CA, 94103",DUBOCE AVE,8,Mint Hill,MISSION,37.769837520945,-122.424393762326,"(37.76983752, -122.42439376)",Mobile/Open311,,8,27,3,5,20,5,8,7,28853,4,19,19,,27,,5,,,,,,,2,,,,,27
17593494,11/26/2023 04:51:00 PM,11/27/2023 01:22:00 PM,11/27/2023 01:22:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2087 SUTTER ST, SAN FRANCISCO, CA, 94115",SUTTER ST,5,Lower Pacific Heights,NORTHERN,37.785760207585,-122.434695422886,"(37.78576021, -122.43469542)",Mobile/Open311,,5,103,4,11,15,11,13,6,29490,9,13,13,,103,,11,,,,,,,2,,,,,103
17593492,11/26/2023 04:50:00 PM,11/30/2023 03:05:00 PM,11/30/2023 03:05:00 PM,Closed,Case is a Duplicate,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1838 KEITH ST, SAN FRANCISCO, CA, 94124",KEITH ST,10,Bayview,BAYVIEW,37.729555494208,-122.389489656099,"(37.72955549, -122.38948966)",Mobile/Open311,,10,86,2,9,1,8,10,3,58,3,1,1,,86,,9,,,,,,,2,,,,,86
17593491,11/26/2023 04:50:00 PM,11/28/2023 03:34:29 PM,11/28/2023 03:34:29 PM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,"84 DUBOCE AVE, SAN FRANCISCO, CA, 94103",DUBOCE AVE,9,South of Market,MISSION,37.769961666667,-122.422103333333,"(37.76996167, -122.42210333)",Mobile/Open311,,9,32,3,2,20,7,8,7,28853,4,19,19,,32,,2,,,3,,,,2,,3,,,32
17593490,11/26/2023 04:50:00 PM,11/28/2023 08:18:00 PM,11/28/2023 08:18:00 PM,Closed,Case is a Duplicate,DPW Ops Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"2465 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,2,Union Street,NORTHERN,37.798241735692,-122.424069507984,"(37.79824174, -122.42406951)",Mobile/Open311,,2,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
17593488,11/26/2023 04:47:00 PM,11/27/2023 09:18:59 AM,11/27/2023 09:18:59 AM,Closed,Removed - Case Resolved,SoMa West CBD Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1035 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,6,South of Market,SOUTHERN,37.777994121448,-122.405970784351,"(37.77799412, -122.40597078)",Mobile/Open311,,6,32,1,10,34,9,14,2,28853,2,34,34,24,32,1,10,6,,,6,,,2,,,,,32
17593486,11/26/2023 04:47:00 PM,11/30/2023 04:30:35 PM,11/30/2023 04:30:35 PM,Closed,Case Resolved - 10/98,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Hazardous Waste Containers,Intersection of MONTEREY BLVD and SAN ANSELMO AVE,MONTEREY BLVD,7,St. Francis Wood,TARAVAL,0,0,"(0.0, 0.0)",Phone,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593480,11/26/2023 04:45:00 PM,11/27/2023 12:00:00 AM,11/27/2023 12:00:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"368 LILY ST, SAN FRANCISCO, CA, 94102",LILY ST,5,Lower Haight,NORTHERN,37.773991846607,-122.426782500007,"(37.77399185, -122.4267825)",Mobile/Open311,,5,26,4,11,9,11,7,6,28852,9,10,10,,26,,11,,,,,,,1,,,,,26
17593479,11/26/2023 04:44:00 PM,11/28/2023 03:33:00 PM,11/28/2023 03:33:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2705 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.776055009362,-122.487863289366,"(37.77605501, -122.48786329)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
17593477,11/26/2023 04:44:00 PM,11/27/2023 06:49:28 AM,11/27/2023 06:49:28 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1226 CASTRO ST, SAN FRANCISCO, CA, 94114",CASTRO ST,8,Noe Valley,MISSION,37.751671357157,-122.43429520859,"(37.75167136, -122.43429521)",Mobile/Open311,,8,84,3,5,22,5,2,7,28862,4,22,22,,84,,5,,,,,,,1,,,,,84
17593476,11/26/2023 04:44:00 PM,11/27/2023 07:29:34 AM,11/27/2023 07:29:34 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"694 28TH AVE, SAN FRANCISCO, CA, 94121",28TH AVE,1,Outer Richmond,RICHMOND,37.776271267395,-122.487528633754,"(37.77627127, -122.48752863)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
17593473,11/26/2023 04:42:00 PM,11/28/2023 03:02:00 PM,11/28/2023 03:02:00 PM,Closed,Case is a Duplicate,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of CHARLES J BRENHAM PL and MCALLISTER ST,CHARLES J BRENHAM PL,5,Civic Center,TENDERLOIN,0,0,"(0.0, 0.0)",Phone,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593472,11/26/2023 04:42:00 PM,11/27/2023 11:38:36 AM,11/27/2023 11:38:36 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,"500 FILLMORE ST, SAN FRANCISCO, CA, 94117",FILLMORE ST,5,Lower Haight,NORTHERN,37.774135249937,-122.430790759117,"(37.77413525, -122.43079076)",Mobile/Open311,,5,26,4,11,9,11,7,6,29492,9,10,10,,26,,11,,,,,,,1,,,,,26
17593471,11/26/2023 04:42:00 PM,11/26/2023 05:47:12 PM,11/26/2023 05:47:12 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of 20TH ST and CONNECTICUT ST,20TH ST,10,Potrero Hill,BAYVIEW,37.759924872216,-122.397137395479,"(37.75992487, -122.3971374)",Mobile/Open311,,10,54,2,9,26,8,10,3,28856,3,29,29,,54,,9,,,,,,,2,,,,,54
17593470,11/26/2023 04:42:00 PM,11/27/2023 03:10:00 PM,11/27/2023 03:10:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of OAK ST and FILLMORE ST,OAK ST,5,Lower Haight,NORTHERN,37.774016154773,-122.43082865919,"(37.77401615, -122.43082866)",Mobile/Open311,,5,26,4,11,9,11,7,6,29492,9,10,10,,26,,11,,,,,,,1,,,,,26
17593469,11/26/2023 04:42:00 PM,11/27/2023 07:22:00 PM,11/27/2023 07:22:00 PM,Closed,Case Resolved - Nothing found around area,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"501 CONNECTICUT ST, SAN FRANCISCO, CA, 94107",CONNECTICUT ST,10,Potrero Hill,BAYVIEW,37.759918205596,-122.397074156038,"(37.75991821, -122.39707416)",Mobile/Open311,,10,54,2,9,26,8,10,3,28856,3,29,29,,54,,9,,,,,,,2,,,,,54
17593464,11/26/2023 04:40:00 PM,11/26/2023 05:28:16 PM,11/26/2023 05:28:16 PM,Closed,Case Resolved - Reallocate to 311 - no city can,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of MONTGOMERY ST and VALLEJO ST,MONTGOMERY ST,3,North Beach,CENTRAL,37.799201135367,-122.404009560669,"(37.79920114, -122.40400956)",Mobile/Open311,,3,18,6,3,23,10,3,1,308,1,23,23,21,18,,3,23,,,,,,1,,,,,18
17593463,11/26/2023 04:40:00 PM,,11/27/2023 02:24:42 PM,Open,N/A,RPD TMA Queue,Rec and Park Requests,Park - Structural_Maintenance,Graffiti,Intersection of BUENA VISTA AVE EAST and DUBOCE AVE,BUENA VISTA AVE EAST,8,Buena Vista,PARK,37.769024288388,-122.438479015704,"(37.76902429, -122.43847902)",Mobile/Open311,,8,112,7,5,3,5,15,8,29492,5,9,9,,112,,5,,,,,,,1,,,31,,112
17593460,11/26/2023 04:38:50 PM,11/26/2023 04:41:59 PM,11/26/2023 04:41:59 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"80 MISSION ST, SAN FRANCISCO, CA, 94105",MISSION ST,6,Financial District,SOUTHERN,37.792870385748,-122.393842892298,"(37.79287039, -122.39384289)",Mobile/Open311,,6,108,6,10,8,9,12,2,28855,2,6,6,,108,,10,,,,,,,1,,,,,108
17593457,11/27/2023 05:01:00 PM,11/29/2023 09:46:19 AM,11/29/2023 09:46:19 AM,Closed,Case Resolved,DPW Ops Queue,Illegal Postings,Illegal Postings - Affixed_Improperly,Affixed Improperly,"499 JEFFERSON ST, SAN FRANCISCO, CA, 94109",JEFFERSON ST,3,Fisherman's Wharf,CENTRAL,37.807505,-122.420721666667,"(37.807505, -122.42072167)",Mobile/Open311,,2,99,6,6,32,1,5,1,28858,1,32,32,,99,,6,,,,,2,,1,,,,,99
17593454,11/26/2023 04:36:45 PM,11/26/2023 04:41:53 PM,11/26/2023 04:41:53 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3408 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.775893606741,-122.495362952111,"(37.77589361, -122.49536295)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,5,,8
17593453,11/26/2023 04:35:00 PM,,11/26/2023 04:55:19 PM,Open,accepted,DPW Ops Queue,Graffiti,Graffiti on Building_residential,Building_residential - Not_Offensive,"1221 MASONIC AVE, SAN FRANCISCO, CA, 94117",MASONIC AVE,5,Haight Ashbury,PARK,37.769902167044,-122.445425838232,"(37.76990217, -122.44542584)",Mobile/Open311,,5,25,7,11,3,11,15,8,29492,5,9,9,22,25,,11,24,,,25,,,1,,,,,25
17593451,11/26/2023 04:33:00 PM,11/26/2023 07:55:00 PM,11/26/2023 07:55:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"797 BRYANT ST, SAN FRANCISCO, CA, 94107",BRYANT ST,6,South of Market,SOUTHERN,37.77616019053,-122.402202078912,"(37.77616019, -122.40220208)",Mobile/Open311,,6,32,1,10,34,9,14,2,28856,2,34,34,,32,,10,,,,,,,2,,,,,32
17593450,11/26/2023 04:33:00 PM,11/26/2023 10:17:08 PM,11/26/2023 10:17:08 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 17324696,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of BANKS ST and END (000 BLOCK OF),BANKS ST,9,Bernal Heights,INGLESIDE,37.74217301773,-122.412532070689,"(37.74217302, -122.41253207)",Mobile/Open311,,9,83,9,2,2,7,10,4,28859,7,2,2,,83,,2,,,,,,,1,,,,,83
17593449,11/26/2023 04:33:00 PM,11/28/2023 12:08:02 PM,11/28/2023 12:08:02 PM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Structure - Public Retaining Wall,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_structure,Sidewalk_structure - Not_Offensive,Intersection of BACON ST and BOWDOIN ST,BACON ST,9,Portola,BAYVIEW,0,0,"(0.0, 0.0)",Phone,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593448,11/26/2023 04:32:41 PM,11/26/2023 04:35:03 PM,11/26/2023 04:35:03 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"6300 CALIFORNIA ST, SAN FRANCISCO, CA, 94121",CALIFORNIA ST,1,Lake Street,RICHMOND,37.784045627376,-122.48518279765,"(37.78404563, -122.4851828)",Mobile/Open311,,1,2,8,4,29,2,11,9,55,6,26,26,,2,,4,,,,,,,2,,,,,2
17593447,11/26/2023 04:32:32 PM,11/26/2023 04:43:53 PM,11/26/2023 04:43:53 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of 3RD ST and BRANNAN ST,3RD ST,6,South Beach,SOUTHERN,37.780133742344,-122.394129635277,"(37.78013374, -122.39412964)",Mobile/Open311,,6,31,1,10,8,9,6,2,28856,2,6,6,,31,,10,,,,,,,1,,,,,31
17593446,11/26/2023 04:31:48 PM,,11/26/2023 04:35:52 PM,Open,open,DPW Ops Queue,Litter Receptacles,Other_garbage_can_repair,N/A,"454 PORTOLA DR, SAN FRANCISCO, CA, 94131 (Virtual)",PORTOLA DR,8,Midtown Terrace,INGLESIDE,37.746524901398,-122.448136400341,"(37.7465249, -122.4481364)",Mobile/Open311,,8,48,7,5,38,5,2,4,63,7,38,38,,48,,5,,,,,,,1,,,,,48
17593443,11/26/2023 04:30:00 PM,11/27/2023 07:16:49 AM,11/27/2023 07:16:49 AM,Closed,Unable to Locate,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"130 AVALON AVE, SAN FRANCISCO, CA, 94112",AVALON AVE,11,Excelsior,INGLESIDE,0,0,"(0.0, 0.0)",Phone,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593441,11/26/2023 04:30:00 PM,11/27/2023 08:57:32 AM,11/27/2023 08:57:32 AM,Closed,Case Resolved - Field Work has been completed. Memo:STATUSDATE per Mobile. DBAdd@11/27/2023 08:57:33AM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"583 18TH AVE, SAN FRANCISCO, CA, 94121",18TH AVE,1,Inner Richmond,RICHMOND,0,0,"(0.0, 0.0)",Phone,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593435,11/26/2023 04:28:40 PM,11/26/2023 04:29:04 PM,11/26/2023 04:29:04 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"668 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",COLUMBUS AVE,3,North Beach,CENTRAL,37.800885607642,-122.410859960841,"(37.80088561, -122.41085996)",Mobile/Open311,,3,106,6,3,23,10,3,1,308,1,23,23,21,106,,3,23,,,23,,,2,,,,,106
17593434,11/26/2023 04:28:37 PM,11/26/2023 04:29:00 PM,11/26/2023 04:29:00 PM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1490 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,3,Polk Gulch,NORTHERN,37.790458226211,-122.420583550915,"(37.79045823, -122.42058355)",Mobile/Open311,,3,105,4,3,21,10,13,6,28858,9,21,21,,105,,3,,,,,10,,1,,,,,105
17593433,11/26/2023 04:28:00 PM,11/27/2023 07:14:15 AM,11/27/2023 07:14:15 AM,Closed,Case Resolved - Not abandoned waste against house in driveway they need to call for BIC pickup and be charged accordingly,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,"82 LYELL ST, SAN FRANCISCO, CA, 94112",LYELL ST,11,Mission Terrace,INGLESIDE,0,0,"(0.0, 0.0)",Phone,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593432,11/26/2023 04:28:08 PM,,11/26/2023 05:55:08 PM,Open,open,DPT Paint Shop Queue,General Request - MTA,request_for_service,paint_shop - request_for_service,"207 WALNUT ST, SAN FRANCISCO, CA, 94118",WALNUT ST,2,Presidio Heights,RICHMOND,37.789296380834,-122.449036409401,"(37.78929638, -122.44903641)",Mobile/Open311,,2,10,8,6,31,1,13,9,54,6,31,31,,10,,6,,,,,,,1,,,,,10
17593430,11/26/2023 04:27:00 PM,11/26/2023 04:38:58 PM,11/26/2023 04:38:58 PM,Closed,Case Resolved,DPW BSM Queue,Street Defects,Pavement_Defect,Pavement_Defect,"168 SHAWNEE AVE, SAN FRANCISCO, CA, 94112",SHAWNEE AVE,11,Cayuga,INGLESIDE,37.71870252267,-122.447251449443,"(37.71870252, -122.44725145)",Mobile/Open311,,11,80,9,1,28,6,9,4,28861,7,25,25,,80,,1,,,,,,,2,,,,,80
17593428,11/26/2023 04:26:00 PM,11/27/2023 05:09:37 AM,11/27/2023 05:09:37 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1245 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",LEAVENWORTH ST,3,Nob Hill,CENTRAL,37.792760007135,-122.416184041363,"(37.79276001, -122.41618404)",Mobile/Open311,,3,16,6,3,21,10,5,1,28858,1,21,21,,16,,3,,,,,,,1,,,,,16
17593426,11/26/2023 04:26:00 PM,11/28/2023 11:34:21 AM,11/28/2023 11:34:21 AM,Closed,Unable to Locate,HSOC Individual Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of MASON ST and CHESTNUT ST,MASON ST,3,North Beach,CENTRAL,37.803755,-122.41323,"(37.803755, -122.41323)",Mobile/Open311,https://mobile311.sfgov.org/media/san_francisco/report/photos/6563e22790e3395cf20035f3/report.jpg,3,106,6,3,23,10,3,1,308,1,23,23,,106,,3,,,,,,,1,,,,,106
17593425,11/26/2023 04:25:00 PM,11/27/2023 05:10:51 AM,11/27/2023 05:10:51 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1155 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",LEAVENWORTH ST,3,Nob Hill,CENTRAL,37.792025269776,-122.416053269463,"(37.79202527, -122.41605327)",Mobile/Open311,,3,16,6,3,21,10,5,1,28858,1,21,21,,16,,3,,,,,,,1,,,,,16
17593424,11/26/2023 04:25:00 PM,12/06/2023 11:59:11 AM,12/06/2023 11:59:11 AM,Closed,Abandoned Vehicles - Gone on Arrival - GOA 12/06/23 0728A #52,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,gray - mazda - hatchback - FJ427DP,"3904 17TH ST, SAN FRANCISCO, CA, 94114",17TH ST,8,Castro,MISSION,0,0,"(0.0, 0.0)",Phone,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593423,11/26/2023 04:24:00 PM,11/26/2023 04:34:58 PM,11/26/2023 04:34:58 PM,Closed,Case Resolved - Send to AW,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of BOCANA ST and HOLLY PARK CIR,BOCANA ST,9,Holly Park,INGLESIDE,37.738174991817,-122.419386243916,"(37.73817499, -122.41938624)",Mobile/Open311,,9,61,9,2,2,7,2,4,28859,7,2,2,,61,,2,,,,,,,1,,,,,61
17593419,11/26/2023 04:23:00 PM,11/28/2023 02:41:00 PM,11/28/2023 02:41:00 PM,Closed,Case Resolved - Nothing found,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of RESTANI STWY and END (000 BLOCK OF),RESTANI STWY,11,Cayuga,INGLESIDE,37.718620294518,-122.443473860621,"(37.71862029, -122.44347386)",Mobile/Open311,,11,80,9,1,28,6,9,4,28861,7,25,25,,80,,1,,,,,,,2,,,,,80
17593417,11/26/2023 04:23:00 PM,11/29/2023 04:31:08 PM,11/29/2023 04:31:08 PM,Closed,Case Resolved - The work was performed under work order #SMY-280445. The issue noted in the service request has been addressed.?Please open a new service request if you require further assistance.,RPD TMA Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Not_Offensive,"3502 CLEMENT ST, SAN FRANCISCO, CA, 94121",CLEMENT ST,1,Outer Richmond,RICHMOND,37.78212025727,-122.493715047261,"(37.78212026, -122.49371505)",Mobile/Open311,,1,7,8,4,17,2,11,9,55,6,15,15,,7,,4,,,,,,,1,,,,,7
17593414,11/26/2023 04:22:00 PM,11/26/2023 07:51:00 PM,11/26/2023 07:51:00 PM,Closed,Case Resolved - Picked up miscellaneous debris,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2062 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Mission,MISSION,37.763965345059,-122.419727520959,"(37.76396535, -122.41972752)",Mobile/Open311,,9,53,3,2,20,7,8,7,28859,4,19,19,12,53,,2,14,,3,14,,,2,,3,,,53
17593413,11/26/2023 04:22:00 PM,12/01/2023 01:16:16 PM,12/01/2023 01:16:16 PM,Closed,Case Resolved - Inspector responded but event was ending upon arrival. Last event of the year,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of OFARRELL ST and STEINER ST,OFARRELL ST,5,Western Addition,NORTHERN,0,0,"(0.0, 0.0)",Phone,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
17593412,11/26/2023 04:22:00 PM,11/28/2023 09:01:00 AM,11/28/2023 09:01:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"132 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,6,South of Market,SOUTHERN,37.775799335426,-122.407844401896,"(37.77579934, -122.4078444)",Mobile/Open311,,6,32,1,10,34,9,8,2,28853,2,34,34,24,32,,10,6,,,6,,,2,,,,,32
